RepRapFirmware height map file v2 generated at 2021-03-04 21:34, min error -0.279, max error 0.577, mean 0.092, deviation 0.196
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,290.00,20.00,180.00,-1.00,20.00,20.00,15,9
 -0.279, -0.242, -0.245, -0.247, -0.241, -0.228, -0.206, -0.173, -0.131, -0.068, -0.007,  0.075,  0.159,  0.249,  0.366
 -0.215, -0.188, -0.190, -0.185, -0.182, -0.182, -0.144, -0.125, -0.087, -0.035,  0.031,  0.115,  0.205,  0.315,  0.423
 -0.151, -0.123, -0.120, -0.132, -0.133, -0.126, -0.108, -0.080, -0.046,  0.004,  0.067,  0.139,  0.222,  0.316,  0.422
 -0.083, -0.048, -0.072, -0.071, -0.081, -0.084, -0.062, -0.030,  0.001,  0.035,  0.094,  0.188,  0.252,  0.341,  0.451
 -0.020, -0.010, -0.011, -0.015, -0.036, -0.038, -0.029,  0.007,  0.026,  0.072,  0.131,  0.200,  0.277,  0.372,  0.471
  0.036,  0.048,  0.039,  0.027,  0.007,  0.002,  0.009,  0.035,  0.058,  0.100,  0.166,  0.234,  0.302,  0.392,  0.491
  0.093,  0.110,  0.089,  0.071,  0.054,  0.048,  0.050,  0.066,  0.096,  0.141,  0.187,  0.255,  0.333,  0.422,  0.526
  0.166,  0.165,  0.153,  0.131,  0.117,  0.097,  0.096,  0.123,  0.146,  0.205,  0.238,  0.313,  0.363,  0.456,  0.575
  0.225,  0.228,  0.213,  0.185,  0.165,  0.147,  0.151,  0.163,  0.177,  0.207,  0.257,  0.317,  0.389,  0.474,  0.577
